id,parent,subsystem,diffs,window,symbol,pf,wr,dd,status,failure_reason,run_id,notes
P2A-ALL_FULL,PRODUCTION,,Full stack worse than candidate,2026.01.01-2026.07.31,EURUSD,1.0,0.42,28,reject,dd_breach,20260101_P2A-ALL_FULL_d5d5e42a,EL2 row 11; reject
P2B-001_HTF_H1,PRODUCTION,,H1 EMA200 + BSL25,2026.01.01-2026.07.31,EURUSD,0.85,0.67,57,reject,regime,20260101_P2B-001_HTF_H1_3caf8cef,EL2 row 12; reject
P2B-002_HTF_H4,PRODUCTION,,H4 EMA200 + BSL25,2026.01.01-2026.07.31,EURUSD,0.79,0.64,61,reject,regime,20260101_P2B-002_HTF_H4_7735d085,EL2 row 13; reject
P2B-003_HTF_SLOPE,PRODUCTION,,Identical to H1,2026.01.01-2026.07.31,EURUSD,0.85,0.67,57,reject,regime,20260101_P2B-003_HTF_SLOPE_cb5bbe01,EL2 row 14; reject
P2C-001_REG_ADX25,PRODUCTION,,ADX>25,2026.01.01-2026.07.31,EURUSD,0.8,0.63,53,reject,regime,20260101_P2C-001_REG_ADX25_b66afbf5,EL2 row 15; reject
P2C-001_REG_ADX30,PRODUCTION,,2025 slice superseded by row 22,2025.01.01-2025.12.31,EURUSD,1.0,0.7,33,reject,other,20250101_P2C-001_REG_ADX30_1429db68,EL2 row 16; demote_stale_slice
P2C-002_REG_ATRP70,PRODUCTION,,2025 slice; fails 2026 row 21,2025.01.01-2025.12.31,EURUSD,1.34,0.73,18,reject,other,20250101_P2C-002_REG_ATRP70_735ce60b,EL2 row 17; demote_stale_slice
P2C-003_REG_EMASEP_3ATR,PRODUCTION,,EMA sep >3xATR,2026.01.01-2026.07.31,EURUSD,0.95,0.69,33,reject,regime,20260101_P2C-003_REG_EMASEP_3ATR_4e1134cf,EL2 row 18; reject
P2C-004_REG_SLOPE,PRODUCTION,,57 trades - check range,2026.01.01-2026.07.31,EURUSD,1.15,0.68,8,reject,regime,20260101_P2C-004_REG_SLOPE_90dda6c1,EL2 row 19; reject
P2C-005_BRK_SUSPEND,PRODUCTION,,Breakout suspend,2026.01.01-2026.07.31,EURUSD,1.1,0.72,17,reject,regime,20260101_P2C-005_BRK_SUSPEND_44bdc4f9,EL2 row 20; reject
P2C002_ATRP70,PRODUCTION,,ATR gate hurts vs BSL25,2026.01.01-2026.07.31,EURUSD,0.94,0.65,32,reject,regime,20260101_P2C002_ATRP70_b5bac7a9,EL2 row 21; reject
PRODUCTION,,,2026 canonical lock,2026.01.01-2026.07.31,EURUSD,1.36,0.71,18,lock,,20260101_PRODUCTION_13c52cd9,EL2 row 22; promote_locked
P2D-001_SES_NO23,PRODUCTION,,G1 fail DD+1%,2026.01.01-2026.07.31,EURUSD,1.4,0.72,19,candidate,dd_breach,20260101_P2D-001_SES_NO23_6f2c2b65,EL2 row 23; alternate_g1_fail
P2D-002_SES_NOFRI,PRODUCTION,,G1 fail DD+0.1%,2026.01.01-2026.07.31,EURUSD,1.38,0.71,18.14,candidate,dd_breach,20260101_P2D-002_SES_NOFRI_26e08aa5,EL2 row 24; alternate_g1_fail
P2D-003_SES_NOSUN,PRODUCTION,,Identical to row 24,2026.01.01-2026.07.31,EURUSD,1.38,0.71,18.14,reject,other,20260101_P2D-003_SES_NOSUN_c4677299,EL2 row 25; inert_or_control
P2D-004_SES_LDN_NY,PRODUCTION,,Whitelist cuts Asia,2026.01.01-2026.07.31,EURUSD,1.05,0.63,38,reject,dd_breach,20260101_P2D-004_SES_LDN_NY_02e60884,EL2 row 26; reject
P2E-001_EXIT_RTE,PRODUCTION,,RTE scalp,2026.01.01-2026.07.31,EURUSD,0.54,0.75,31,reject,dd_breach,20260101_P2E-001_EXIT_RTE_e2338ab2,EL2 row 27; reject
P2E-003_TRAIL_50,PRODUCTION,,Trail G1 fail,2026.01.01-2026.07.31,EURUSD,1.1,0.74,19,reject,dd_breach,20260101_P2E-003_TRAIL_50_02617cf4,EL2 row 28; reject
P2F-001_GRID_ATR15,PRODUCTION,,Wider grid,2026.01.01-2026.07.31,EURUSD,1.08,0.66,28,reject,regime,20260101_P2F-001_GRID_ATR15_ccab473e,EL2 row 29; reject
P2F-001_GRID_ATR20,PRODUCTION,,ATR mult 2.0,2026.01.01-2026.07.31,EURUSD,0.93,0.6,34,reject,regime,20260101_P2F-001_GRID_ATR20_d7e81c54,EL2 row 30; reject
P2F-002_1PERLEVEL,PRODUCTION,,1-per-level verified,2026.01.01-2026.07.31,EURUSD,1.38,0.71,18.14,control,,20260101_P2F-002_1PERLEVEL_709bc61b,EL2 row 31; inert_or_control
P2F-003_RSI_EXH,PRODUCTION,,RSI inert,2026.01.01-2026.07.31,EURUSD,1.38,0.71,18.17,reject,other,20260101_P2F-003_RSI_EXH_c39a9dd0,EL2 row 32; inert_or_control
P2F-004_CONFIRM,PRODUCTION,,Candle confirm,2026.01.01-2026.07.31,EURUSD,0.94,0.63,46,reject,dd_breach,20260101_P2F-004_CONFIRM_b442d1cb,EL2 row 33; reject
PRODUCTION,PRODUCTION,,EURUSD-specific edge,2026.01.01-2026.07.31,GBPUSD,0.8,0.59,65,reject,other,20260101_PRODUCTION_26e9ba7e,EL2 row 34; g3_fail
Candidate_X1,PRODUCTION,session,InpUseSessionBlockNo23:false->true,,EURUSD,,,,reject,dd_breach,,INF-PRESET factory smoke


Candidate_X2,PRODUCTION,session,InpUseSessionBlockFriClose:false->true,2026.01.01-2026.07.31,EURUSD,1.4316,,18.13,alternate,dd_breach,20260101_Candidate_X2_bcc8b9b0,AER-P6 FriClose; G1 fail DD
